sha,date,chrome,firefox,safari
4f20388538,2018-10-17,24528.735558224467,22023.369732064915,19449.200926027283
5acd3bcf66,2018-10-18,24540.79967133895,22031.68953460785,19438.87240873294
168de7c332,2018-10-19,24543.714159506435,22025.532277133312,19434.512534668647
d44bc3ed38,2018-10-20,24605.321910738214,22035.933932123866,17115.510134814234
2ed748f10d,2018-10-21,24611.312153741645,22037.261071771274,17118.995834244313
3dbc08a982,2018-10-22,24617.79300928045,22037.309327856798,19443.86355507202
f3e2b41349,2018-10-24,24650.22161384019,22551.43618425841,19457.667914202386
09a1d43536,2018-10-25,24654.29315567554,22550.017114974195,19468.026282535124
f5832ccdb3,2018-10-26,24654.16396622585,22610.062756333115,19449.638571127707
b622fea47d,2018-10-27,24657.20058890192,22553.88125121849,19451.507919372492
71c05e7131,2018-10-28,24655.40492564035,22561.25335358747,19474.577143346487
66aabf66f5,2018-10-29,24660.90501586819,22561.523946253947,19465.120526341885
0cc29e423f,2018-10-30,24667.54312087506,22562.31328293891,19461.429479163555
75b0f336c5,2018-10-31,24687.595643035194,22578.58665031817,19471.122805751358
8295368c82,2018-11-01,24687.44910590122,22644.280696081103,19476.643270412165
5d4871b4b8,2018-11-02,24696.723064000184,22643.545709676477,19489.730976487743
c583bcd7eb,2018-11-03,24697.221471543595,22589.28935489048,19491.75988027285
6e9693d269,2018-11-04,24710.0340783812,22602.554587352464,19492.997570929794
064f51c50e,2018-11-05,24707.74798071964,22602.781825007136,19506.948915141646
71fe0a6c3d,2018-11-07,24725.11225799433,22611.88967890965,19486.281055267777
349d418380,2018-11-08,24718.33755746148,22619.177630049493,19503.18533578255
a516e7edca,2018-11-09,24721.071238546472,22669.360656634304,19501.795704619086
a0610cf468,2018-11-10,24739.521200866904,22628.783713281126,19520.917191293564
abc39b8588,2018-11-11,24708.18087663407,22688.70932996836,19544.596972982115
89188af975,2018-11-13,24715.962376310596,22692.543146203152,19526.97775090067
7201104211,2018-11-14,24766.05871321063,22707.394178191727,19557.658141388325
6856483bcc,2018-11-15,24769.26929651158,22709.45212907692,19545.746575754267
b4c61af0f4,2018-11-16,24766.446041308307,22719.306088857076,19557.69816169558
c1faeb4eb5,2018-11-20,24769.008206685518,22727.85408954341,19592.67471321276
e340f910d3,2018-11-21,24951.781704484016,22857.32519369336,19749.926892109022
fe0e2ce1f3,2018-11-22,24979.437260039573,22980.90655544596,19796.283303293836
40e50ecff7,2018-11-24,24947.993654876926,22897.614262316918,19761.81531303591
732cc9161d,2018-11-25,24953.971035829305,22954.796709027876,19770.016154014505
e94ae4b34e,2018-11-26,24950.98381444503,22956.859184400597,19784.532184505013
58523789a0,2018-11-27,24953.416548649824,22955.1606584943,19780.72164319879
09972ca7bd,2018-11-28,25024.07650375117,23008.10842132124,19867.621687769722
38ba0516aa,2018-11-29,25033.91612524079,23024.145478708295,19858.752775065295
00942a1ab7,2018-11-30,25069.180223294366,23074.24611112311,19891.12701640449
d50692144c,2018-12-01,25076.397665939443,23074.808937732283,19909.03907800567
ef72a20e3d,2018-12-04,25074.6948271116,23133.012729283877,19919.85115547852
614fd870e4,2018-12-05,25337.914708127744,23075.20139142209,19891.229136966285
093a97b6ec,2018-12-06,25331.50510805458,23099.72593329285,19926.21025972469
ffcb833670,2018-12-07,25347.95995931585,23108.731118084947,19934.632371397478
6087baf4a8,2018-12-08,25338.418134939988,23106.005995984822,19923.820031321055
5349c6a632,2018-12-09,25351.463181246832,23113.22821820704,19948.22877607787
2d5385793a,2018-12-10,25340.207023828872,23171.230955747284,19931.102764351406
48d5d5033d,2018-12-12,25619.964580960837,23350.696723831632,19932.23907324719
e75e7b667c,2018-12-14,25380.51541335141,23344.92619353609,19908.77448151663
e183d8671b,2018-12-15,25624.966235433356,23365.46049275035,19950.04545746988
4094d6ae8b,2018-12-16,25637.663082483137,23368.177106278723,19953.87284735828
11971ac216,2018-12-17,25634.610673847776,23366.03266183428,19951.070324422497
691e737caf,2018-12-18,25633.853838344985,23365.79213428243,19953.264241125646
38c37851c8,2018-12-19,25629.044811099353,23384.969372306954,19967.41708884745
e751708440,2018-12-24,25663.32509261059,23393.933424371302,19962.673848121252
a357943a20,2018-12-25,25655.21640777153,23392.184340482243,19983.327047525738
64bd43ee19,2018-12-26,25657.34256245563,23395.124877362756,19984.495656715306
e9174d402d,2018-12-27,25661.26278901516,23340.67165208854,19984.878984324918
a1cc8c0bda,2018-12-28,25663.213444808567,23418.09674891404,19982.057991068014
0445e8c3f3,2018-12-29,25738.758216670038,23478.658234836286,20011.93518618921
4dbc8a0d7b,2018-12-30,25745.53661572117,23479.936560286456,19990.69187873214
4dbc8a0d7b,2018-12-31,25745.95569102319,23479.462201312097,20009.051086885098
75bc93d7d9,2019-01-01,25746.876703124406,23478.91946626936,20011.767508713183
2e3e80c3b4,2019-01-02,25752.96559201329,23481.65023550013,20024.9697454418
4e6563687b,2019-01-03,25753.61318337793,23484.04364650962,20015.466062945525
71e901cf45,2019-01-04,25755.21549494476,23482.444928200875,20010.963510666053
ac12b3e948,2019-01-31,26065.93756729096,23898.915265064214,20166.92584508384
9d402a0e8e,2019-02-01,26100.389551539196,23923.99398004869,20149.473883852414
0f0b7a7e35,2019-02-02,26121.27009709995,23928.410687985994,20183.82668406692
