sha,date,chrome,firefox,safari
3dbc08a982,2018-10-22,25420.5195729557,22871.753843172573,19680.529288293732
f3e2b41349,2018-10-24,25452.00692397238,22922.326698378125,19665.856195486784
09a1d43536,2018-10-25,25449.31152676937,22932.839170955885,19687.849596778535
f5832ccdb3,2018-10-26,25480.86617195315,22930.417401575436,19680.603970266206
b622fea47d,2018-10-27,25485.751923940163,22938.47972926462,19685.699339156567
71c05e7131,2018-10-28,25492.62245500851,22933.788588235926,19682.245346743748
0cc29e423f,2018-10-30,25492.697343873875,22943.00744116243,19704.64761526509
75b0f336c5,2018-10-31,25529.65535472198,22968.18043726997,19711.859354339755
8295368c82,2018-11-01,25536.24658017899,22985.99479442228,19719.38077959712
71fe0a6c3d,2018-11-07,25572.483318717117,23025.254844028594,19742.911731916516
349d418380,2018-11-08,25575.363168975928,23048.40137798492,19754.881827400946
a516e7edca,2018-11-09,25574.80320319909,23121.79257410257,19760.705002150087
a0610cf468,2018-11-10,25597.618729318143,23146.127345981906,19779.90131101658
7201104211,2018-11-14,25626.37185570068,23166.344346489426,19797.985250042708
6856483bcc,2018-11-15,25629.328767262694,23170.40281805165,19810.17567759219
b4c61af0f4,2018-11-16,25616.359333204324,23181.38186142197,19828.643951855276
c1faeb4eb5,2018-11-20,25609.597900064666,23206.796360819393,19843.974309805482
e340f910d3,2018-11-21,25825.801892368665,23460.808540306578,19993.974480132947
fe0e2ce1f3,2018-11-22,25860.858047052763,23531.126717962255,20053.53635901707
1f92ddd122,2018-11-23,25866.283605474477,23541.296606781616,20059.788875190407
40e50ecff7,2018-11-24,25833.34261530482,23507.279152029725,20026.103440211027
732cc9161d,2018-11-25,25832.309702287606,23510.87240599798,20021.403862324314
e94ae4b34e,2018-11-26,25831.76208323999,23510.008443536346,20022.30695095482
58523789a0,2018-11-27,25835.340236818258,23513.864385947854,20040.75480527709
09972ca7bd,2018-11-28,25989.004214990706,23613.07961749809,20117.469968913676
38ba0516aa,2018-11-29,25999.69615786695,23622.13713128402,20115.379551215905
00942a1ab7,2018-11-30,26037.436550776983,23671.645743254474,20148.367505613853
d50692144c,2018-12-01,26039.079585373962,23680.778209120035,20170.000587524035
ef72a20e3d,2018-12-04,26045.586632590315,23679.446798863624,20164.68506400576
614fd870e4,2018-12-05,26062.145298752872,23682.96677110471,20149.91735861499
093a97b6ec,2018-12-06,26081.995843210443,23705.215717501113,20230.037437589795
ffcb833670,2018-12-07,26087.539623114746,23709.108862908495,20220.241447863897
5349c6a632,2018-12-09,26094.23867448861,23712.547825370122,20224.230896976867
48d5d5033d,2018-12-12,26376.98817361672,23730.855339627844,20180.355028810165
4052654d78,2018-12-13,26384.247106078594,23735.53781826032,20201.14068679637
4094d6ae8b,2018-12-16,26465.586332543582,23752.979993385554,20211.418599969806
11971ac216,2018-12-17,26465.16397172397,23753.96387439128,20185.547723859418
38c37851c8,2018-12-19,26483.359751363576,23764.090434754333,20195.938792966186
e751708440,2018-12-23,26497.11148516544,23795.354082217982,20226.58580403408
e751708440,2018-12-24,26495.888866117817,23798.481278242027,20222.62972640448
a357943a20,2018-12-25,26497.69820251785,23801.135124395874,20253.57831623009
4dbc8a0d7b,2018-12-30,26578.14729743569,23885.26247482322,20273.096460402074
75bc93d7d9,2019-01-01,26577.711216849617,23889.665252601,20270.83792187129
2e3e80c3b4,2019-01-02,26583.698758377854,23896.577144840227,20271.282266225193
4e6563687b,2019-01-03,26586.90184289024,23899.606547658597,20277.56232832039
71e901cf45,2019-01-04,26587.473768023927,23901.981883433935,20268.409899379905
9c5701192b,2019-01-29,26615.90495746172,24470.66329396354,20243.20912626063
4139dfe3c5,2019-01-30,26884.549015101617,24420.67210535911,20243.902689817925
09c7c724f7,2019-01-31,26906.88202017893,24447.200249345948,20260.696258817574
b0020d5df1,2019-02-01,27006.371046261807,24469.522896619106,20275.812678504873
78c1544715,2019-02-02,27027.704992241877,24471.90225927478,20256.646388428457
18c828feb8,2019-02-03,27030.414166553805,24472.670803251567,20263.864245571316
b879d5c7d8,2019-02-04,27031.70924967027,24473.831418154452,20272.5943794792
99b96dc056,2019-02-05,27041.40852759541,24490.46246991823,20285.06273305453
9830c5ab11,2019-02-06,27041.5766071082,24489.303168900955,20277.48069864519
156d195398,2019-02-07,27042.712824408416,24485.174185386764,20285.36000514399
7d5d8b89ab,2019-02-08,27049.69259032156,24497.85313431316,20320.696177477206
345300fad3,2019-02-09,27054.115057098366,24498.931382725743,20326.61208253036
48b9be82df,2019-02-10,27054.019136572246,24493.30865684052,20316.036511684284
a01ac89be3,2019-02-11,27065.416584507806,24510.52504969717,20333.462645731175
88cb9e7462,2019-02-12,27076.34921084895,24518.079698973957,20347.293217550065
d1f77cdd37,2019-02-13,27103.583134404897,24517.831373428275,20345.381956894307
85614961e6,2019-02-14,27117.94004168391,24525.41325721002,20354.045504426056
14b470e2e0,2019-02-15,27121.058252727926,24610.988955476852,20361.427626056404
2bed10ac31,2019-02-16,27131.278125813384,24543.754018442338,20369.318263862817
d5f07ed3b5,2019-02-18,27311.387295311608,24744.608185932026,20466.78340305594
34e6ee21a6,2019-02-19,27335.308085159897,24738.878388057874,20465.083360056597
7266a4200f,2019-02-20,27338.532041420858,24771.945157797712,20479.58707593031
493fdc7e79,2019-02-21,27358.014835400674,24755.574608272258,20487.099828955095
5803f5e36a,2019-02-22,27362.13526040776,24855.130850632435,20502.769622897133
4bc37b9ed1,2019-02-23,27379.691908000008,24785.948943118172,20503.455624062128
8805f23ef6,2019-02-24,27380.98557173028,24781.198121626552,20548.048930876565
d41091aaeb,2019-02-25,27387.318902650375,24794.36611788459,20514.719712954935
22abb9c5c4,2019-02-26,27391.40183793519,24800.263438841463,20512.98058738352
bb657c4bd0,2019-02-27,27413.482707973963,24800.888943404756,20521.82287540461
347653b608,2019-02-28,27310.154829184707,24894.138526461407,20524.76951044528
c00e66cde6,2019-03-01,27318.274315895454,24895.946078553792,20523.994966900187
20715b3f6a,2019-03-02,27333.619676090813,24915.336823839618,20508.847489835964
20715b3f6a,2019-03-03,27324.49804631529,24814.133473588747,20548.334290170133
c62b3eef67,2019-03-04,27319.714073207462,24914.54739586185,20534.88325144948
b3ebabb771,2019-03-05,27329.45454939794,24915.79050194867,20529.886609535355
a69554e3d5,2019-03-06,27356.81912987367,24840.04391910219,20566.7887499051
7e2bcbc6ae,2019-03-07,27382.79242795677,24713.443089511595,20501.153155769454
6693cdfab4,2019-03-08,27377.86891500685,24721.871613668223,20503.611838600387
94573f7263,2019-03-11,27396.106740620962,24963.292133211387,20502.67096937689
2c929b12d8,2019-03-12,27411.654212600133,24971.57743621248,20502.2966659638
5df243654f,2019-03-13,27421.72076811394,24980.54666698171,20518.057635091514
1b8bf0be8d,2019-03-14,27455.35225552304,24985.272216432262,20508.449793239175
7cc1301eaf,2019-03-15,27456.27623473034,24991.37849104282,19904.66381138124
78a0ccb785,2019-03-16,27460.360332342785,25000.532624742827,20525.13772666706
c7ec350b75,2019-03-18,27468.2539328473,25005.65482835457,20516.933679364563
e45bda7edd,2019-03-19,27469.728503956616,25008.571023682096,20532.95318238957
a8d97c0c7c,2019-03-20,27481.75710569257,24985.903032489616,20539.216485141864
41cb5b6a73,2019-03-23,27593.833338608223,24989.951222402953,20567.887671568547
3b0abc897b,2019-03-24,27594.018458852905,24997.73528258056,20560.403211291065
69e5802277,2019-03-25,27608.473154276904,25016.3587624823,20573.259941118573
7e1dc7e07e,2019-03-26,27613.70921407616,25023.46230251162,20596.612936148755
c2bd80a32f,2019-03-27,27639.860694170904,25023.94993259037,20596.83852228535
c6b4c117ce,2019-03-28,27637.308785990877,25025.722963285203,20590.29660582263
52d8660d0f,2019-03-29,27637.303180499403,25025.485949112728,20596.852680136362
ecb5ceb84a,2019-03-30,27631.720915773054,25035.263661989582,20600.164355000357
d4f8820261,2019-03-31,27630.006657808797,25037.695800740676,20582.667264090287
a8e6f75e3f,2019-04-01,27644.731241930658,25060.80523112457,20367.435095071
24dd35d242,2019-04-02,27635.029542703964,25065.209138328486,20596.589365494765
664265ae58,2019-04-03,27631.314178003307,25069.11776232201,19809.27771459058
3b92b9b595,2019-04-04,27667.60544731247,25073.18071241047,20601.02993814041
c3c423be44,2019-04-05,27672.96311927554,25080.493107389495,20607.202015993462
923923a01f,2019-04-06,27673.237353374778,25072.66734806353,20601.95487313632
b624370228,2019-04-07,27674.094038356463,25072.908434254827,20604.826180551965
b4c54a188d,2019-04-08,27677.488435473104,25078.15900037967,20597.462191470382
38f02ed8bb,2019-04-09,27678.18868539734,25079.0907649774,20670.612565741816
2d1cea9fdf,2019-04-10,27720.666555922868,25088.598608198008,20673.605639334888
0fbaeb4dbb,2019-04-11,27721.44817985449,25082.23525675539,20673.824766319016
89c7877e00,2019-04-12,27726.93628881485,25118.05119311957,20683.893961002024
3efff9b2d6,2019-04-13,27729.578776882336,25115.62289641627,20684.146914256726
1a9adfc150,2019-04-15,27604.881826197834,25024.341607512015,20684.10385560812
0d32c192cb,2019-04-16,27731.12756487219,25127.540671210976,20684.99480798907
0b9bdba212,2019-04-17,27738.242705287328,25146.937085507172,20687.624141031156
0a4f439934,2019-04-18,27742.392952090697,25148.62311494476,20708.71747933217
4657e10253,2019-04-19,27613.13251515164,25052.92686526856,20710.18339333458
c874e70e5a,2019-04-23,27639.91518120186,25153.63256121803,18077.298799979708
3625714dda,2019-04-24,27752.72484321827,25157.74221571508,20719.67394204714
a7ca70d95f,2019-04-25,27757.235908623454,25168.01386485447,20718.274685122145
301ce26e6c,2019-04-27,27794.9779597132,25219.083322193565,20778.681792593266
9243b385b8,2019-04-29,27815.44085673438,25259.16617096009,20796.672202225207
4f26f67a4e,2019-04-30,27820.69460271607,25270.348608374996,20802.447741034004
8da1cdcae2,2019-05-01,27823.743423695225,25272.168020701793,20805.016553501955
5e447de33a,2019-05-02,27805.530086651,25289.195729953994,20841.83855516527
e5fa2ad49f,2019-05-03,27865.526283187828,25269.41777710069,20845.492806000948
f3b7322806,2019-05-06,27887.598701244155,25315.393275596303,20865.641691732828
921a5dad0d,2019-05-07,27902.98721599028,25331.956940192573,20872.988364812834
aa929d12a0,2019-05-08,27918.53174489787,25340.897670092167,20883.057635488512
1dc0f0ac3a,2019-05-09,27924.835041448416,25349.373402692898,20889.904215144838
98cac08c5f,2019-05-10,27964.78525028198,25394.625980643614,20908.678561888333
0c79d0d99c,2019-05-11,27972.390195336928,25417.108848625976,20914.984426097762
127f2d619d,2019-05-12,27973.04449816917,25413.041914709553,20915.020974877993
0884f14f72,2019-05-13,27976.781920278652,25416.40110274374,20913.4736301127
4c38864fbf,2019-05-14,28015.505582302503,25472.72954878993,20955.106160063177
35f192b9ed,2019-05-15,28048.980336907818,25500.51076144857,20969.15710243626
a44abc74a6,2019-05-16,28087.101152815765,25369.408068648983,20971.802122841178
89c336cf4a,2019-05-17,28144.48961081838,25532.110183208955,20973.141939874797
163424c5e7,2019-05-18,28147.029496858264,25514.324468923238,20972.78861805337
6777c592f4,2019-05-19,28145.396606415372,25512.235183208955,20973.36598280151
1ffed3dcdc,2019-05-20,28157.500737892293,25540.008761193578,20985.408283877354
e8a896ba53,2019-05-21,28162.027675774443,25545.846518308674,20989.785184102508
095dac6b87,2019-05-22,28208.76668608733,25654.579506660397,21013.842953171566
747759339a,2019-05-23,28216.87558687916,25652.74711569351,21016.661813091
a00eb7eb65,2019-05-24,28244.75568178426,25671.29461953376,21029.32581989958
ac3d096a59,2019-05-25,28243.339123189948,25686.324386127337,21025.09288339164
a4df0fa7be,2019-05-26,28247.460476989054,25707.852068632248,21030.544874002702
057bc299a3,2019-05-27,28268.054426530685,25734.15122786332,21046.624592414963
a6a3a634c4,2019-05-28,28260.736536087792,25728.560654491117,21044.196959856672
eeb34a17fa,2019-05-29,28278.51944680453,25748.158053604893,20243.315014413693
edc6d2dac1,2019-05-30,28278.525124460208,25739.566631882983,20239.140105988783
4cf5295e8d,2019-06-03,28547.625010460193,25765.45438229698,20264.161513369545
3e07a6ab68,2019-06-04,28538.572742277633,25782.94457123053,20270.41673669919
488f0f02d2,2019-06-05,28539.466973046863,25806.20164168262,21092.69639899645
3840f46213,2019-06-06,28546.610121717764,25812.79900672498,20280.61183281103
03fff324c7,2019-06-07,27399.803538415534,25819.84303151564,20285.2666623855
a2ed321bcc,2019-06-08,28577.345011892423,25835.23655547274,20282.071268692936
6ba1179816,2019-06-10,28588.649757299918,25846.54199974474,20289.253773102108
1bdd1b1901,2019-06-11,28603.183432381786,25853.110882977846,20301.95818210879
293630965d,2019-06-12,28619.580058131163,25752.21064752095,20313.2939437223
b06ef73185,2019-06-13,28632.852412136803,25915.1050261032,20331.29828361988
fdf8ff0196,2019-06-14,28638.397244580643,25945.576123531246,20335.12921887483
4100d1d51b,2019-06-15,28686.62455390021,25966.831282261406,20338.19518331021
fc5cf5b4f4,2019-06-16,28690.601013843774,25962.44834575347,20335.880456678817
c81dc02d6b,2019-06-17,28692.891930772843,25975.424550659944,20338.191567789934
f64ccd6f39,2019-06-18,28688.894412026846,25984.992740256366,21169.15657735915
17de974a80,2019-06-19,28694.09131558767,25991.63033448182,21168.493654479564
