date,chrome-version,chrome-aspect-ratio,chrome-css-flexbox,chrome-css-grid,chrome-css-transforms,chrome-position-sticky,firefox-version,firefox-aspect-ratio,firefox-css-flexbox,firefox-css-grid,firefox-css-transforms,firefox-position-sticky,webkitgtk-version,webkitgtk-aspect-ratio,webkitgtk-css-flexbox,webkitgtk-css-grid,webkitgtk-css-transforms,webkitgtk-position-sticky
2021-04-09,91.0.4449.6 dev,0.9748427672955975,0.9125342832296475,0.9461416478260948,0.7484500615462739,0.9767441860465116,89.0a1,0.982275586049171,0.9827972248502049,0.9125671848128879,0.7346806438903244,0.872093023255814,2.33.0 (r274267),0.24633123689727462,0.8858013913974179,0.9290966412346164,0.6939060765949179,0.7596899224806203
2021-04-10,91.0.4449.6 dev,0.9748427672955975,0.9125342832296475,0.9461416478260948,0.7484500615462739,0.9767441860465116,89.0a1,0.982275586049171,0.9827972248502049,0.9125671848128879,0.7346806438903244,0.872093023255814,2.33.0 (r274267),0.24633123689727462,0.8858013913974179,0.9279879937845056,0.6939060765949179,0.7596899224806203
2021-04-11,91.0.4449.6 dev,0.9748427672955975,0.9134803570234034,0.9461416478260948,0.7484500615462739,0.9767441860465116,89.0a1,0.982275586049171,0.9837432986439608,0.9136758322629988,0.7346806438903244,0.872093023255814,2.33.0 (r274267),0.24633123689727462,0.884855317603662,0.9279879937845056,0.6939060765949179,0.7596899224806203
2021-04-12,91.0.4449.6 dev,0.9748427672955975,0.9134803570234034,0.9461416478260948,0.7484500615462739,0.9767441860465116,89.0a1,0.982275586049171,0.9837432986439608,0.9125671848128879,0.7346806438903244,0.872093023255814,2.33.0 (r274267),0.24633123689727462,0.884855317603662,0.9279879937845056,0.6939060765949179,0.7596899224806203
2021-04-13,91.0.4449.6 dev,0.9748427672955975,0.9134803570234034,0.9461416478260948,0.7484500615462739,0.9767441860465116,89.0a1,0.982275586049171,0.9837432986439608,0.9136758322629988,0.7346806438903244,0.872093023255814,2.33.0 (r274267),0.24633123689727462,0.884855317603662,0.9290966412346164,0.6939060765949179,0.7596899224806203
2021-04-14,91.0.4469.4 dev,0.9748427672955975,0.9210489473734507,0.9461416478260948,0.7505667719963179,0.9767441860465116,89.0a1,0.982275586049171,0.9837432986439608,0.9136758322629988,0.7346806438903244,0.872093023255814,2.33.0 (r274267),0.24633123689727462,0.884855317603662,0.9290966412346164,0.6939060765949179,0.7596899224806203
2021-04-15,91.0.4472.10 dev,0.9748427672955975,0.9219950211672066,0.9450330003759839,0.7518895233190692,0.8837209302325582,89.0a1,0.982275586049171,0.9837432986439608,0.9136758322629988,0.7346806438903244,0.872093023255814,2.33.0 (r276017),0.9509796688737651,0.8867474651911738,0.9323301962974397,0.6964741099811118,0.7596899224806203
2021-04-16,91.0.4472.10 dev,0.9748427672955975,0.9219950211672066,0.9439243529258731,0.7518895233190692,0.8837209302325582,89.0a1,0.982275586049171,0.9837432986439608,0.9136758322629988,0.7346806438903244,0.872093023255814,2.33.0 (r276114),0.9509796688737651,0.8868657244153932,0.9312215488473289,0.6964741099811118,0.7596899224806203
2021-04-17,91.0.4472.10 dev,0.9748427672955975,0.9219950211672066,0.9440629338571369,0.7518895233190692,0.8837209302325582,89.0a1,0.982275586049171,0.9837432986439608,0.9127057657441517,0.7346806438903244,0.872093023255814,2.33.0 (r276194),0.9509796688737651,0.8859196506216374,0.9313601297785928,0.6964741099811118,0.7596899224806203
2021-04-18,91.0.4472.10 dev,0.9748427672955975,0.9219950211672066,0.9440629338571369,0.7518895233190692,0.8837209302325582,89.0a1,0.982275586049171,0.9837432986439608,0.9138144131942627,0.7346806438903244,0.872093023255814,2.33.0 (r276194),0.9509796688737651,0.8859196506216374,0.9313601297785928,0.6964741099811118,0.7596899224806203
